show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,plataforma,id,duration_int,duration_type
s1,movie,the grand seduction,don mckellar,"brendan gleeson, taylor kitsch, gordon pinsent",canada,2021-03-30,2014,g,113 min,"comedy, drama","a small fishing village must procure a local doctor to secure a lucrative business contract. when unlikely candidate and big city doctor paul lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. as the doctor's time in the village winds to a close, acting mayor murray french has no choice but to pull out all the stops.",amazon,as1,113,min
s2,movie,take care good night,girish joshi,"mahesh manjrekar, abhay mahajan, sachin khedekar",india,2021-03-30,2018,13+,110 min,"drama, international",a metro family decides to fight a cyber criminal threatening their stability and pride.,amazon,as2,110,min
s3,movie,secrets of deception,josh webber,"tom sizemore, lorenzo lamas, robert lasardo, richard jones, yancey arias, noel gugliemi",united states,2021-03-30,2017,g,74 min,"action, drama, suspense",after a man discovers his wife is cheating on him with a neighborhood kid he goes down a furious path of self-destruction,amazon,as3,74,min
s4,movie,pink: staying true,sonia anderson,"interviews with: pink, adele, beyoncé, britney spears, christina aguilera, more!",united states,2021-03-30,2014,g,69 min,documentary,"pink breaks the mold once again, bringing her career to a new level in 2013 with a world tour that entertains unlike ever before! get inside access to ""the girl who got the party started"" with exclusive interviews and rare live performances.",amazon,as4,69,min
s5,movie,monster maker,giles foster,"harry dean stanton, kieran o'brien, george costigan, amanda dickinson, alison steadman, grant bardsley, bill moody, matthew scurfield",united kingdom,2021-03-30,1989,g,45 min,"drama, fantasy","teenage matt banting wants to work with a famous but eccentric creature/special effects man named chancey bellows. he gets more than he bargained for when one of the creatures, the giant dragon-like ultragorgon, takes matt under his wing. matt is forced to confront his inner monsters while working out his issues with his father.",amazon,as5,45,min
s6,movie,living with dinosaurs,paul weiland,"gregory chisholm, juliet stevenson, brian henson, michael maloney",united kingdom,2021-03-30,1989,g,52 min,"fantasy, kids","the story unfolds in a an english seaside town, where dom, an only child, faces the imminent arrival of a new sibling, and subsequently diminished attention from his mother. a stuffed toy dinosaur named dog is dom's only confidant – dom relies on his friend heavily for support as he confronts his problems, accepts the changes in his life, and understands the love he has for his parents.",amazon,as6,52,min
s7,movie,hired gun,fran strine,"alice cooper, liberty devitto, ray parker jr., david foster, jason hook, steve vai, phil x, rudy sarzo, jay graydon, rob zombie, kenny aronoff, steve lukather, justin derrico, eva gardner, john 5, eric singer, derek st. holmes, paul bushnell, jason newsted, glen sobel, nita strauss, chris johnson",united states,2021-03-30,2017,g,98 min,"documentary, special interest","they are the ""first call, a-list"" musicians, just 20 feet from stardom, yet rarely receive credit for their work. the 'hired gun' community lives and breathes music, and for the first time, share their incredible stories detailing the highs and lows of touring life, the demands of session schedules, and the dedication required to play next to some of the world's most iconic musicians.",amazon,as7,98,min
s8,movie,grease live!,"thomas kail, alex rudzinski","julianne hough, aaron tveit, vanessa hudgens, keke palmer, carly rae jepson, mario lopez, carlos penavega, kether donohue, jordan fisher, david del rio, andrew call, wendell pierce, boyz ii men, jessie j, ana gasteyer, didi conn",united states,2021-03-30,2016,g,131 min,comedy,"this honest, uncompromising comedy chronicles the war stories and sexual misadventures of a tight circle of lovers and friends fighting to get their acts together, for better or worse.",amazon,as8,131,min
s9,movie,global meltdown,daniel gilboy,"michael paré, leanne khol young, patrick j. maceachern",canada,2021-03-30,2017,g,87 min,"action, science fiction, suspense",a helicopter pilot and an environmental scientist lead a exodus of survivors in a search for a safe haven after a catastrophic tectonic event causes the crust of the earth to break apart.,amazon,as9,87,min
s10,movie,david's mother,robert allan ackerman,"kirstie alley, sam waterston, stockard channing",united states,2021-04-01,1994,g,92 min,drama,"sally goodson is a devoted mother to her autistic son david. abandoned by her husband, sally has managed to keep her son out of ""the system"", until a social worker comes along.",amazon,as10,92,min
s11,movie,forest fairies,justin g. dyck,"emily wilder, adrian cowan, gary mckenzie, jeremy ninaber, brenda somers, brian carleton, lora burke, winny clarke, mercedes morris, rebecca perry, emily agard, graham gauthier",canada,2021-04-04,2016,g,88 min,"adventure, kids",amanda stumbles upon a hidden village of fairies in the forest. they help her thwart a scheming land developer's plan to trick her mother into selling the family inn.,amazon,as11,88,min
s12,movie,take care,liz tuccillo,"leslie bibb, kevin curtis, nadia dajani",united states,2021-04-10,2014,g,93 min,comedy,"when a car crash leaves frannie immobilized, she is brushed off by everyone she can count on. with nowhere else to turn, frannie reluctantly calls her ex, devon, for help. it isn't long before old wounds emerge and are made worse when devon's crazy new girlfriend shows up.",amazon,as12,93,min
s13,movie,the night eats the world,dominique rocher,"anders danielsen lie, golshifteh farahani, denis lavant, sigrid bouaziz, david kammenos",france,2021-04-17,2018,g,94 min,"horror, suspense","after waking up in an apartment the night after a raging party, sam comes face to face with his new reality, an army of zombies have invaded the streets of paris and he is the lone survivor. petrified with fear, he barricades himself inside the building to survive. he wonders how long can he last in silence and solitude, and the answer comes when he learns that he's not all alone after all.",amazon,as13,94,min
s14,movie,resilencia,jep barcelona,"rafinha alcantara, marc-andré ter stegen, sergi roberto, dr. ramón cugat, mazinho, xavi arruebo, celia ferreira da silva, ángel lapuebla, javier enríquez, thiago alcantara, valeria alcantara",spain,2021-04-24,2020,g,46 min,"documentary, sports","the documentary follows the midfielder’s everyday life for six months. it’s a sincere portrayal by rafinha himself, who opened his home for the cameras to film every moment, even allowing them into the operating room.",amazon,as14,46,min
s15,movie,elon musk: the real life iron man,sonia anderson,"elon musk, per wimmer, julie anderson-ankenbrandt, cary cooper",united kingdom,2021-05-02,2018,g,74 min,documentary,"discover the meteoric rise of elon musk, the man who is transforming the way we think about travel technology through electric cars, the hyperloop, and revolutionary ideas on how we live through artificial intelligence and colonizing mars.",amazon,as15,74,min
s16,movie,summer '03,becca gleason,"joey king, jack kilmer, andrea savage, paul scheer, june squibb, erin darke, stephen ruffin, kelly lamor wilson, logan medina, travis james, bill eudaly, elise duquette",united states,2021-06-03,2019,g,96 min,"comedy, drama","summer '03 is the hilarious story of 16-year-old jamie and her family, who are shocked after her calculating grandmother unveils an array of family secrets on her deathbed, one involving religion, the other of a more personal nature. jamie is left to navigate her own love life and her closest friendships in the midst of this family crisis, and one of the most memorable summers of her life.",amazon,as16,96,min
s17,movie,zoombies,glenn miller,"marcus anderson, kaiwi lyman, andrew asper",,,2016,13+,87 min,"horror, science fiction","when a strange virus quickly spreads through a safari park and turns all the zoo animals undead, those left in the park must stop the creatures before they escape and zombify the whole city.",amazon,as17,87,min
s18,tv show,zoo babies,,narrator - gillian barlett,,,2008,all,1 season,"kids, special interest","a heart warming and inspiring series that welcomes the arrival of new members of the animal kingdom in zoo's around the world, as well as showcasing endangered species being born in captivity, 'zoo babies' is perfect family viewing packaged with fun, colourful graphics designed to capture the attention of little ones.",amazon,as18,1,season
s19,tv show,zoë coombs marr: bossy bottom,,zoë coombs marr,,,2020,18+,1 season,"comedy, talk show and variety","zoë coombs marr has been on hiatus. sort of. for six years, she won stacks of awards and acclaim as a hack comic with a neckbeard called dave. whatever. she’s scraped off the neckbeard and is baaaack… as herself. there is no comedian quite like zoë. bossy bottom is a joyously silly return to very serious stand up from the micf most outstanding show winner and edinburgh best show nominee.",amazon,as19,1,season
s20,movie,zoe,drake doremus,"ewan mcgregor, léa seydoux, theo james, miranda otto, rashida jones, christina aguilera, matthew gray gubler, anthony shim",,,2018,r,104 min,science fiction,"zoe tells a tale of forbidden love between an engineer and a robot. zoe (léa seydoux) and cole (ewan mcgregor) are colleagues and veiled lovers at a lab working to perfect romantic relationships. but their relationship is threatened when zoe discovers the truth about their relationship, sending them into a spiral of confusion, betrayal and the most intense of human emotions, love.",amazon,as20,104,min
